term,slug,cluster,definition_intent,search_demand_if_known,commercial_relevance,entity_centrality,internal_link_value,source_confidence,existing_page_conflict,priority,status
transcription,transcription,transcription-asr,what is transcription,present in GSC tool queries; volume UNKNOWN,5,5,5,5,none — definition vs /video-to-transcript action,100,published
automatic speech recognition,automatic-speech-recognition,transcription-asr,what is ASR,UNKNOWN,5,5,5,5,none,100,published
speech-to-text,speech-to-text,transcription-asr,what is speech-to-text,UNKNOWN,5,5,4,5,/speech-to-text is transactional; glossary is definitional,95,draft
verbatim transcription,verbatim-transcription,transcription-asr,what is verbatim transcription,UNKNOWN,4,5,5,5,blog clean vs full verbatim is off-site narrative,95,published
clean verbatim,clean-verbatim,transcription-asr,what is clean verbatim,UNKNOWN,4,4,5,5,Hashnode comparison post; on-site definition still needed,89,published
full verbatim,full-verbatim,transcription-asr,what is full verbatim,UNKNOWN,4,4,5,5,Hashnode comparison post,89,published
word error rate,word-error-rate,quality,what is WER,UNKNOWN,4,5,5,5,/research page owns first-party WER study,95,published
transcription accuracy,transcription-accuracy,quality,what is transcription accuracy,UNKNOWN,5,5,5,4,/accuracy-test is a comparison stub,96,published
confidence score,confidence-score,quality,what is an ASR confidence score,UNKNOWN,3,4,4,4,none,75,published
speaker diarization,speaker-diarization,speakers,what is speaker diarization,UNKNOWN,5,5,5,5,none — /video-to-transcript offers the feature,100,published
speaker identification,speaker-identification,speakers,what is speaker identification,UNKNOWN,4,4,5,4,none,85,published
speaker labels,speaker-labels,speakers,what are speaker labels,UNKNOWN,5,4,5,5,none,94,published
overlapping speech,overlapping-speech,speakers,what is overlapping speech,UNKNOWN,3,4,4,4,blog on overlapping cues is subtitle-timing,75,published
SRT file,srt-file,formats,what is an SRT file,SRT how-to queries appear in GSC; volume UNKNOWN,5,5,5,5,/how-to-create-srt-file is how-to; /video-to-srt is action,100,published
WebVTT,webvtt,formats,what is WebVTT,UNKNOWN,5,5,5,5,/tools/srt-to-vtt is a converter,100,published
TTML,ttml,formats,what is TTML,UNKNOWN,3,4,4,5,/tools/ttml-to-srt is a converter,79,published
SCC,scc,formats,what is SCC,UNKNOWN,2,3,3,5,none,63,published
closed captions,closed-captions,captions-subtitles,what are closed captions,vs-query appears in GSC; volume UNKNOWN,5,5,5,5,/open-captions-vs-closed-captions is a comparison,100,published
open captions,open-captions,captions-subtitles,what are open captions,UNKNOWN,4,4,5,5,/open-captions-vs-closed-captions is a comparison,89,published
subtitles,subtitles,captions-subtitles,what are subtitles,UNKNOWN,5,5,5,5,/subtitles-vs-closed-captions is a comparison,100,published
SDH,sdh,captions-subtitles,what is SDH,UNKNOWN,4,4,5,5,/sdh-subtitles is create-SDH commercial,89,published
forced subtitles,forced-subtitles,captions-subtitles,what are forced subtitles,UNKNOWN,3,3,4,4,none,69,published
caption file,caption-file,formats,what is a caption file,UNKNOWN,4,4,5,4,none,85,published
subtitle synchronization,subtitle-synchronization,timing,what is subtitle sync,UNKNOWN,5,4,5,4,/fix-subtitles is the action page,90,published
timecode,timecode,timing,what is timecode,UNKNOWN,4,5,5,5,/tools/timestamp-converter is a utility,95,published
SMPTE timecode,smpte-timecode,timing,what is SMPTE timecode,UNKNOWN,3,4,4,5,none,79,published
frame rate,frame-rate,timing,what is frame rate,UNKNOWN,4,4,4,5,none,84,published
drop-frame timecode,drop-frame-timecode,timing,what is drop-frame timecode,UNKNOWN,2,3,4,5,none,68,published
audio description,audio-description,accessibility,what is audio description,UNKNOWN,3,4,4,5,none,79,published
WCAG,wcag,accessibility,what is WCAG,UNKNOWN,4,5,5,5,/video-accessibility is compliance workflow,95,published
caption accessibility,caption-accessibility,accessibility,what makes captions accessible,UNKNOWN,4,4,5,4,/ada-video-captions is commercial/compliance,85,published
punctuation restoration,punctuation-restoration,quality,what is punctuation restoration,UNKNOWN,3,3,4,4,none,69,published
hallucination,hallucination,quality,what is an ASR hallucination,UNKNOWN,4,4,4,4,none,80,published
audio extraction,audio-extraction,video-audio-workflow,what is audio extraction,UNKNOWN,4,4,4,4,none — VideoText extracts audio in the pipeline,80,published
multilingual transcription,multilingual-transcription,localization,what is multilingual transcription,UNKNOWN,4,4,4,4,none,80,published
character error rate,character-error-rate,quality,what is CER,UNKNOWN,3,4,4,5,none,79,published
